"Method","C_index_Mean","C_index_SD","IBS_Mean","IBS_SD","AUC_Mean","AUC_SD","Selected_Mean"
"Lasso (Combined)",0.635866629212539,0.0588721421795566,0.197273709777449,0.0259956303296035,0.654217004684172,0.0734213697170268,35.7083333333333
"Lasso (Primary)",0.638091345139841,0.0831682441099652,0.197694780053106,0.0396285936918786,0.663876117140764,0.0983317303494082,19.1041666666667
"TransCox-Sparse",0.665077033876915,0.0804355571545427,0.182581489819938,0.0227672609996289,0.690546261802424,0.101318222488237,17.9166666666667
