"Method","C_index","AUC_Median","IBS","MSE","F1","Precision","Recall","Selected_Num","Simulation_ID"
"Lasso (Primary)",0.5,0.5,0.25,0.0292046265936462,0,0,0,0,18
"Lasso (Combined)",0.590483292165727,0.595911552994033,0.207252193127782,0.025649870339195,0.685714285714286,0.8,0.6,15,18
"TransCox-Sparse",0.700983362072983,0.738477196205104,0.165137724631556,0.0214952101713148,0.529411764705882,0.642857142857143,0.45,14,18
"Lasso (Primary)",0.5,0.5,0.25,0.00947479984875825,0,0,0,0,19
"Lasso (Combined)",0.547181602299712,0.540891952718574,0.225733193657468,0.0146636113565977,0.272727272727273,0.176470588235294,0.6,68,19
"TransCox-Sparse",0.434070741157355,0.378744264747051,0.186566131926874,0.00947479723693794,0,0,0,7,19
"Lasso (Primary)",0.715745035701256,0.767462625469611,0.190226484910829,0.015504423184472,0.260869565217391,1,0.15,3,20
"Lasso (Combined)",0.604367540522229,0.595976064587055,0.221596860855948,0.016690457368652,0.417910447761194,0.297872340425532,0.7,47,20
"TransCox-Sparse",0.615989993224579,0.641451311479456,0.197671944030994,0.0155531963921602,0.256410256410256,0.263157894736842,0.25,19,20
"Lasso (Primary)",0.745251977140218,0.771434708979958,0.148177525636172,0.0140075887898274,0.285714285714286,0.5,0.2,8,21
"Lasso (Combined)",0.660509149685389,0.682288774024897,0.187758062747243,0.0170628002850174,0.366666666666667,0.275,0.55,40,21
"TransCox-Sparse",0.735380707729608,0.769792453828379,0.154202461156999,0.0137487008688583,0.307692307692308,0.315789473684211,0.3,19,21
"Lasso (Primary)",0.59219967199672,0.616952373509176,0.193348156400189,0.0266863873457998,0.25531914893617,0.222222222222222,0.3,27,22
"Lasso (Combined)",0.550840508405084,0.594309295700875,0.239440621877147,0.0338831046825085,0.60377358490566,0.484848484848485,0.8,33,22
"TransCox-Sparse",0.652060270602706,0.683773258562406,0.181678694517614,0.0247449758820395,0.454545454545455,0.416666666666667,0.5,24,22
"Lasso (Primary)",0.698026970766585,0.750842530276925,0.156859126130657,0.0216727056291646,0.388888888888889,0.4375,0.35,16,23
"Lasso (Combined)",0.599420762059915,0.57336713781142,0.220251259451547,0.0273954370100189,0.472727272727273,0.371428571428571,0.65,35,23
"TransCox-Sparse",0.599420762059915,0.583915407356175,0.19343755423255,0.0274448555476394,0.275862068965517,0.444444444444444,0.2,9,23
"Lasso (Primary)",0.553438224785307,0.597735195860624,0.275689068120407,0.116023109823317,0.213333333333333,0.145454545454545,0.4,55,24
"Lasso (Combined)",0.623581771453645,0.620949909737319,0.176715861121958,0.0124052180463399,0.466666666666667,0.7,0.35,10,24
"TransCox-Sparse",0.643766062809503,0.656035220612969,0.177280047370793,0.0113520110113063,0.292682926829268,0.285714285714286,0.3,21,24
"Lasso (Primary)",0.610887873616998,0.616261083217051,0.188287642850466,0.0203629054918326,0.285714285714286,0.333333333333333,0.25,15,25
"Lasso (Combined)",0.592668024439919,0.572118449774159,0.199414323172705,0.0175837914282892,0.483870967741935,0.357142857142857,0.75,42,25
"TransCox-Sparse",0.698629382947102,0.745030186965684,0.184391322947514,0.0186992075889743,0.277777777777778,0.3125,0.25,16,25
"Lasso (Primary)",0.683451249170904,0.705954847172134,0.203248174094518,0.0190580914630632,0.0952380952380952,1,0.05,1,26
"Lasso (Combined)",0.618781782003095,0.6277488498061,0.201849645558917,0.01983073267514,0.444444444444444,0.352941176470588,0.6,34,26
"TransCox-Sparse",0.658246738890117,0.670049312608882,0.210049272018821,0.0168691521138789,0.325581395348837,0.304347826086957,0.35,23,26
"Lasso (Primary)",0.802944617784711,0.884365818449933,0.117200406229578,0.0122871688287121,0.444444444444444,0.352941176470588,0.6,34,27
"Lasso (Combined)",0.65917511700468,0.693597237831449,0.187347499772848,0.0264392683088566,0.604651162790698,0.565217391304348,0.65,23,27
"TransCox-Sparse",0.719188767550702,0.809255325692564,0.165926347326928,0.0290570475758446,0.24390243902439,0.238095238095238,0.25,21,27
"Lasso (Primary)",0.630739109153206,0.666816545175359,0.212727180450074,0.0208186593855017,0.166666666666667,0.5,0.1,4,28
"Lasso (Combined)",0.697209985315712,0.700371398669333,0.160506456607156,0.0159732591919241,0.516129032258065,0.727272727272727,0.4,11,28
"TransCox-Sparse",0.731277533039648,0.788630117369184,0.169173855394998,0.0159113229781513,0.256410256410256,0.263157894736842,0.25,19,28
"Lasso (Primary)",0.5,0.5,0.25,0.0163830702559063,0,0,0,0,29
"Lasso (Combined)",0.616306689498978,0.611679999913607,0.198708972908301,0.0157444175845947,0.441558441558442,0.298245614035088,0.85,57,29
"TransCox-Sparse",0.611390377285533,0.616276667832435,0.189244438692323,0.0143872242160109,0.35,0.35,0.35,20,29
"Lasso (Primary)",0.611974361464504,0.634589598774733,0.2149771000597,0.015345416349526,0.173913043478261,0.666666666666667,0.1,3,30
"Lasso (Combined)",0.580751675245217,0.568705162071983,0.204259808662178,0.0143125482087472,0.5,0.458333333333333,0.55,24,30
"TransCox-Sparse",0.682286102748373,0.698441888242765,0.192019470108346,0.0129425156310992,0.409090909090909,0.375,0.45,24,30
"Lasso (Primary)",0.579700583608221,0.611523368942546,0.294942027689133,0.065539192582529,0.189189189189189,0.12962962962963,0.35,54,31
"Lasso (Combined)",0.610301953818828,0.61757559532325,0.203748637755054,0.0149308921899417,0.366666666666667,0.275,0.55,40,31
"TransCox-Sparse",0.561684851560518,0.594119029413816,0.231022050699824,0.0170374418322278,0.27027027027027,0.294117647058824,0.25,17,31
"Lasso (Primary)",0.599716874292186,0.646770138537017,0.207983023347934,0.0198932029924377,0.244897959183673,0.206896551724138,0.3,29,32
"Lasso (Combined)",0.710305775764439,0.762380844992197,0.163124784044896,0.0144627066160735,0.566666666666667,0.425,0.85,40,32
"TransCox-Sparse",0.752944507361268,0.795016995593074,0.158775433761996,0.013697000747268,0.431372549019608,0.354838709677419,0.55,31,32
"Lasso (Primary)",0.5,0.5,0.25,0.0295186687003359,0,0,0,0,33
"Lasso (Combined)",0.70519061159574,0.721982357998006,0.172754522731938,0.0168169516736755,0.528301886792453,0.424242424242424,0.7,33,33
"TransCox-Sparse",0.725866306809967,0.735571931252828,0.173143251711172,0.0215892399146474,0.428571428571429,0.409090909090909,0.45,22,33
"Lasso (Primary)",0.572686983640641,0.583112859120805,0.217500300020088,0.0194970374883075,0.222222222222222,0.2,0.25,25,34
"Lasso (Combined)",0.599989057285112,0.623785621106306,0.236910141140624,0.0213836511230444,0.386363636363636,0.25,0.85,68,34
"TransCox-Sparse",0.654866772446244,0.675096358448191,0.192636481733111,0.0180209884964784,0.242424242424242,0.307692307692308,0.2,13,34
"Lasso (Primary)",0.686711210096511,0.698313729053555,0.206460419006057,0.0203146589695957,0.231884057971014,0.163265306122449,0.4,49,35
"Lasso (Combined)",0.509451202101536,0.489356155506088,0.25353134316647,0.0284170986884925,0.377358490566038,0.303030303030303,0.5,33,35
"TransCox-Sparse",0.617954428644852,0.640001636379789,0.20681018961005,0.0232062371842785,0.108108108108108,0.117647058823529,0.1,17,35
"Lasso (Primary)",0.632659457765241,0.642075523442653,0.18466320879599,0.018374742031334,0.41025641025641,0.421052631578947,0.4,19,36
"Lasso (Combined)",0.531212453638406,0.539334215096156,0.2480126637613,0.0229764947292704,0.538461538461538,0.4375,0.7,32,36
"TransCox-Sparse",0.470406937261662,0.461806329760211,0.212872810080791,0.0209471266443377,0.285714285714286,0.333333333333333,0.25,15,36
"Lasso (Primary)",0.733444654392055,0.759537147666322,0.149068540802086,0.0304282598738567,0.424242424242424,0.538461538461538,0.35,13,37
"Lasso (Combined)",0.69837852089467,0.729189800086514,0.176741221753404,0.0280203107388924,0.60377358490566,0.484848484848485,0.8,33,37
"TransCox-Sparse",0.695038889133014,0.723752219884177,0.165992549646526,0.0322984791256121,0.516129032258065,0.727272727272727,0.4,11,37
"Lasso (Primary)",0.570950211341055,0.62464399936277,0.189718070641574,0.02679010873279,0,0,0,2,38
"Lasso (Combined)",0.629357193829939,0.694322360044034,0.209432974727938,0.020961889936369,0.385964912280702,0.297297297297297,0.55,37,38
"TransCox-Sparse",0.755228632595927,0.814099584313027,0.152980509721829,0.0197751218294832,0.533333333333333,0.8,0.4,10,38
"Lasso (Primary)",0.567644635954629,0.583683672929713,0.193550708597707,0.0161453101178761,0.204081632653061,0.172413793103448,0.25,29,39
"Lasso (Combined)",0.599328306190989,0.627889914889354,0.203594041035287,0.0150654371293992,0.492307692307692,0.355555555555556,0.8,45,39
"TransCox-Sparse",0.603003611938407,0.626445486225694,0.17765075854901,0.0146446499845868,0.210526315789474,0.222222222222222,0.2,18,39
"Lasso (Primary)",0.728680136447127,0.777768295984168,0.162549277986932,0.0191075962169486,0.363636363636364,0.461538461538462,0.3,13,40
"Lasso (Combined)",0.632274993440042,0.643812764988371,0.192876608457431,0.022053048816489,0.52,0.433333333333333,0.65,30,40
"TransCox-Sparse",0.694200997113618,0.736795052732815,0.177687662840807,0.0206081015345113,0.27027027027027,0.294117647058824,0.25,17,40
"Lasso (Primary)",0.613162687171186,0.617091233144585,0.197196774217755,0.024373120889684,0.271186440677966,0.205128205128205,0.4,39,41
"Lasso (Combined)",0.698401456900041,0.719467430407628,0.173501374751394,0.0186994766482481,0.507936507936508,0.372093023255814,0.8,43,41
"TransCox-Sparse",0.699666127074059,0.718203232365722,0.14959481680205,0.0199031414499656,0.521739130434783,0.461538461538462,0.6,26,41
"Lasso (Primary)",0.5,0.5,0.25,0.0408598398280767,0,0,0,0,42
"Lasso (Combined)",0.729759500642556,0.782420411068394,0.160310954403808,0.0250605750505439,0.571428571428571,0.482758620689655,0.7,29,42
"TransCox-Sparse",0.800715990453461,0.828904692295543,0.146316581421782,0.0238985301240116,0.391304347826087,0.346153846153846,0.45,26,42
"Lasso (Primary)",0.616593374377016,0.639997725842396,0.17952719218236,0.0168974514039395,0.148148148148148,0.285714285714286,0.1,7,43
"Lasso (Combined)",0.664614482556435,0.669058554870822,0.180329350813437,0.0157246668433327,0.5,0.363636363636364,0.8,44,43
"TransCox-Sparse",0.68830255057168,0.713871345491228,0.167243311253019,0.0148014661339544,0.315789473684211,0.333333333333333,0.3,18,43
"Lasso (Primary)",0.562081832218219,0.549235312901419,0.193169268160463,0.0156277151698247,0.378378378378378,0.411764705882353,0.35,17,44
"Lasso (Combined)",0.587750900669068,0.61312827942273,0.210194277656672,0.0144455938670869,0.60377358490566,0.484848484848485,0.8,33,44
"TransCox-Sparse",0.612326299536799,0.619050164737123,0.188454563791133,0.013352288204778,0.285714285714286,0.272727272727273,0.3,22,44
"Lasso (Primary)",0.659683035178293,0.69108545318071,0.221852386255926,0.0444874915824187,0.246913580246914,0.163934426229508,0.5,61,45
"Lasso (Combined)",0.694321046944411,0.728429429569621,0.176778546539715,0.0193048627390241,0.357142857142857,0.277777777777778,0.5,36,45
"TransCox-Sparse",0.713891223436187,0.734407998080336,0.152133128460799,0.0163198993511865,0.228571428571429,0.266666666666667,0.2,15,45
"Lasso (Primary)",0.5,0.5,0.25,0.0228474192036037,0,0,0,0,46
"Lasso (Combined)",0.603893287062141,0.608017937447845,0.212125518415784,0.0233660237250762,0.434782608695652,0.384615384615385,0.5,26,46
"TransCox-Sparse",0.679969634529877,0.716319993812636,0.170371151819612,0.0201952035683425,0.4,0.4,0.4,20,46
"Lasso (Primary)",0.591505068312032,0.652401306167596,0.208279544194927,0.0206710399188762,0.181818181818182,1,0.1,2,47
"Lasso (Combined)",0.638992948435434,0.63867830022106,0.188159515705371,0.0187043626493566,0.484848484848485,0.615384615384615,0.4,13,47
"TransCox-Sparse",0.594755398854121,0.576050130605177,0.209243664181555,0.0214668901057383,0.222222222222222,0.25,0.2,16,47
"Lasso (Primary)",0.597442851607904,0.592798555061634,0.198394222300471,0.00996509276907437,0.277777777777778,0.3125,0.25,16,48
"Lasso (Combined)",0.582941274146233,0.610935092098665,0.206140766120169,0.0132414566968269,0.4,0.6,0.3,10,48
"TransCox-Sparse",0.626944152321913,0.64654519180552,0.229966989689038,0.0123941468403971,0.105263157894737,0.111111111111111,0.1,18,48
"Lasso (Primary)",0.591330454018751,0.632400927049079,0.197409659246905,0.0182094585386472,0.304347826086956,0.269230769230769,0.35,26,49
"Lasso (Combined)",0.661750763720636,0.692251884525532,0.176373898430316,0.0140753495400104,0.523809523809524,0.5,0.55,22,49
"TransCox-Sparse",0.679026651216686,0.706649712546248,0.182021564592834,0.0154834040394715,0.35,0.35,0.35,20,49
"Lasso (Primary)",0.609403585803147,0.610834935841302,0.171869805972639,0.0116766059369506,0.333333333333333,0.285714285714286,0.4,28,50
"Lasso (Combined)",0.597572874740822,0.619060286914962,0.20803680227659,0.0133950408662175,0.4,0.288888888888889,0.65,45,50
"TransCox-Sparse",0.623795584827418,0.594686011520682,0.174257634770466,0.0117289045012633,0.355555555555556,0.32,0.4,25,50
"Lasso (Primary)",0.525781003471127,0.524852651452119,0.21839619887833,0.0172757859484392,0.27906976744186,0.260869565217391,0.3,23,51
"Lasso (Combined)",0.520353423792995,0.486019856765947,0.230268246500273,0.0184947392231659,0.436363636363636,0.342857142857143,0.6,35,51
"TransCox-Sparse",0.586115493846639,0.570535893012628,0.20822961152699,0.0165539060759796,0.114285714285714,0.133333333333333,0.1,15,51
"Lasso (Primary)",0.657776750635544,0.710609917389747,0.174358441015886,0.0153718039360472,0.444444444444444,0.4,0.5,25,52
"Lasso (Combined)",0.601340420614745,0.651230408583685,0.211396451704674,0.0159925246260285,0.432432432432432,0.296296296296296,0.8,54,52
"TransCox-Sparse",0.5545181418997,0.553479295642481,0.214014707951158,0.0212809130791168,0.352941176470588,0.428571428571429,0.3,14,52
"Lasso (Primary)",0.786136205698402,0.827759399072804,0.14232077613273,0.0123481774772475,0.333333333333333,0.375,0.3,16,53
"Lasso (Combined)",0.67911744266852,0.710085757525499,0.189476756819435,0.0155507155271326,0.45,0.45,0.45,20,53
"TransCox-Sparse",0.726488302061617,0.76865157111934,0.162094107969522,0.0148727747785503,0.318181818181818,0.291666666666667,0.35,24,53
"Lasso (Primary)",0.626508680077156,0.640102269163519,0.20757063100293,0.0114644053521047,0.275862068965517,0.444444444444444,0.2,9,54
"Lasso (Combined)",0.664811242766602,0.688167266713929,0.179832499817265,0.012614598147335,0.385542168674699,0.253968253968254,0.8,63,54
"TransCox-Sparse",0.623973546431524,0.670890341527662,0.216250071116127,0.0129912774197591,0.27027027027027,0.294117647058824,0.25,17,54
"Lasso (Primary)",0.696116891238842,0.71896745248305,0.165108254455191,0.0199031399435582,0.344827586206897,0.555555555555556,0.25,9,55
"Lasso (Combined)",0.69935755301609,0.698000535373012,0.178657892576095,0.0171936735851267,0.571428571428571,0.482758620689655,0.7,29,55
"TransCox-Sparse",0.731934731934732,0.732311809419986,0.153553775484854,0.0168031300439281,0.421052631578947,0.444444444444444,0.4,18,55
"Lasso (Primary)",0.641082621082621,0.650504192094048,0.19639731186144,0.0183844717598877,0.0952380952380952,1,0.05,1,56
"Lasso (Combined)",0.675213675213675,0.695841712485507,0.17574576949501,0.0129767245024537,0.382978723404255,0.333333333333333,0.45,27,56
"TransCox-Sparse",0.763874643874644,0.780915437781858,0.150190205861591,0.0125857118491306,0.25,0.25,0.25,20,56
"Lasso (Primary)",0.678449594165392,0.761295625706267,0.230074698086175,0.0390173979562365,0.293333333333333,0.2,0.55,55,57
"Lasso (Combined)",0.637572050347018,0.685296732248667,0.206511232785536,0.0189315010232747,0.585365853658537,0.571428571428571,0.6,21,57
"TransCox-Sparse",0.669921185742854,0.717704553462962,0.191968006893066,0.0192975014371875,0.217391304347826,0.192307692307692,0.25,26,57
"Lasso (Primary)",0.637472495934182,0.648678695784185,0.17974186087218,0.0207989932093027,0.333333333333333,0.5,0.25,10,58
"Lasso (Combined)",0.710274562326605,0.78763003334384,0.169781171149149,0.0146574294424095,0.535714285714286,0.416666666666667,0.75,36,58
"TransCox-Sparse",0.719506361810007,0.757526517233221,0.166871564744068,0.0159893412539998,0.269230769230769,0.21875,0.35,32,58
"Lasso (Primary)",0.596968367695082,0.618117803499879,0.21549763368658,0.0258193901323618,0.205882352941176,0.145833333333333,0.35,48,59
"Lasso (Combined)",0.623141784861335,0.65117981796037,0.205522750306849,0.0204183190168453,0.432432432432432,0.296296296296296,0.8,54,59
"TransCox-Sparse",0.630647755519813,0.652222605369898,0.183161636038284,0.0217879834761884,0.294117647058823,0.357142857142857,0.25,14,59
"Lasso (Primary)",0.770316928626643,0.800411140298361,0.140168470951108,0.0162986780459475,0.3,0.3,0.3,20,60
"Lasso (Combined)",0.50291162071631,0.520457435110993,0.264918750415694,0.0332937407640637,0.311111111111111,0.28,0.35,25,60
"TransCox-Sparse",0.539190930172636,0.566645154433333,0.217786279181932,0.0268966701498601,0.176470588235294,0.214285714285714,0.15,14,60
"Lasso (Primary)",0.502681876558132,0.485230839402292,0.231398138106747,0.0143658146974929,0.0384615384615385,0.03125,0.05,32,61
"Lasso (Combined)",0.522777064289492,0.530896904110245,0.230961411395492,0.00954795159410374,0.48780487804878,0.476190476190476,0.5,21,61
"TransCox-Sparse",0.519830777366473,0.521520842641986,0.19369940428104,0.00560600568174885,0.129032258064516,0.181818181818182,0.1,11,61
"Lasso (Primary)",0.664537421484084,0.703143141925113,0.204952018575463,0.0180692044907802,0.181818181818182,1,0.1,2,62
"Lasso (Combined)",0.628074097732354,0.662335316464193,0.211357434148762,0.0160557213672367,0.311111111111111,0.2,0.7,70,62
"TransCox-Sparse",0.677366123709145,0.700090475085732,0.192264987400267,0.0160746195698347,0.3,0.3,0.3,20,62
"Lasso (Primary)",0.733445911370382,0.781993700255428,0.157759343419499,0.0160655491881039,0.305555555555556,0.211538461538462,0.55,52,63
"Lasso (Combined)",0.715893971957834,0.778792869451651,0.16992584882683,0.0150548503022725,0.508474576271187,0.384615384615385,0.75,39,63
"TransCox-Sparse",0.74234981066421,0.797773044336685,0.173911093357121,0.0195723190455023,0.424242424242424,0.538461538461538,0.35,13,63
"Lasso (Primary)",0.664319248826291,0.710618368485105,0.157828881024255,0.0134139068377493,0.340425531914894,0.296296296296296,0.4,27,64
"Lasso (Combined)",0.678102804863368,0.698277254421542,0.207603166712502,0.0165960996293761,0.29126213592233,0.180722891566265,0.75,83,64
"TransCox-Sparse",0.645780666907428,0.692468523418859,0.170203080999391,0.0161735112671994,0.372093023255814,0.347826086956522,0.4,23,64
"Lasso (Primary)",0.743262102049717,0.779073223952323,0.170061116615038,0.0287953874364745,0.6875,0.916666666666667,0.55,12,65
"Lasso (Combined)",0.730832969908417,0.740674745048421,0.150399196483072,0.0203516797414884,0.590909090909091,0.541666666666667,0.65,24,65
"TransCox-Sparse",0.738682948102922,0.759315173659368,0.159107793822956,0.0245294909472603,0.392156862745098,0.32258064516129,0.5,31,65
"Lasso (Primary)",0.745999388441545,0.756052729284894,0.135894782495867,0.0141758217431074,0.230769230769231,0.5,0.15,6,66
"Lasso (Combined)",0.691162980328203,0.705750028759531,0.169382087028368,0.0174997761670561,0.40625,0.295454545454545,0.65,44,66
"TransCox-Sparse",0.71119151972276,0.725221408568469,0.16355560293524,0.0175710540033547,0.266666666666667,0.4,0.2,10,66
"Lasso (Primary)",0.486193127495641,0.458831545486833,0.197139917722403,0.0240665499692729,0.0769230769230769,0.166666666666667,0.05,6,67
"Lasso (Combined)",0.622574658343175,0.645697153521028,0.196171637706997,0.0182857652232371,0.604651162790698,0.565217391304348,0.65,23,67
"TransCox-Sparse",0.738484899611945,0.752725883010852,0.16950435453786,0.0197396433921229,0.347826086956522,0.307692307692308,0.4,26,67
"Lasso (Primary)",0.614286492671498,0.637868036315205,0.179389328571141,0.0208288443762225,0.166666666666667,0.5,0.1,4,68
"Lasso (Combined)",0.619462758132185,0.601681977682092,0.222081268829117,0.0237225830435545,0.315789473684211,0.2,0.75,75,68
"TransCox-Sparse",0.622949926442543,0.611111303274561,0.187595323000361,0.0204517438238787,0.27027027027027,0.294117647058824,0.25,17,68
"Lasso (Primary)",0.576068469852417,0.598467441093035,0.211555247180024,0.0199197997551694,0.192307692307692,0.15625,0.25,32,69
"Lasso (Combined)",0.658802874855983,0.660687373389686,0.174253877831683,0.0148974370237574,0.448979591836735,0.379310344827586,0.55,29,69
"TransCox-Sparse",0.674987655675646,0.698317634313208,0.188102094160298,0.0179455835553918,0.333333333333333,0.318181818181818,0.35,22,69
"Lasso (Primary)",0.5,0.5,0.25,0.0134590667861151,0,0,0,0,70
"Lasso (Combined)",0.581292609762749,0.600243238543128,0.215348259445544,0.0116087047868585,0.518518518518518,0.411764705882353,0.7,34,70
"TransCox-Sparse",0.667957458412872,0.713372971541825,0.218060043314444,0.0124202349209123,0.111111111111111,0.125,0.1,16,70
"Lasso (Primary)",0.507265647259949,0.496547705373751,0.201949750029901,0.0336688883933664,0.0952380952380952,1,0.05,1,71
