"Method","C_index","AUC_Median","IBS","MSE","F1","MCC","Selected","TPR","FPR"
"Lasso (Primary)",0.819256580548698,0.86834622622948,0.157340672969343,0.0332615423958752,0.459770114942529,0.518920617209583,67,1,0.0979166666666667
"Lasso (Combined)",0.644007093431621,0.645034415375109,0.25046795656406,0.0489325688883841,0.333333333333333,0.378175536869462,82,0.85,0.135416666666667
"TransCox",0.86157376821169,0.907944025712871,0.107630390677221,0.0124800624224504,0.837209302325581,0.832145265575354,23,0.9,0.0104166666666667
